NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,CE,NO,NO,NO,NO,NO,NO,NB
NB,NO,NB,NB,NB,NB,NO,NO,NO,NO,NB
NB,NO,NB,NB,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,FE,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,CE,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NB,NB,NO,NB
NB,NO,NO,NO,NO,NO,NO,NB,NB,NO,NB
NB,NO,NO,NO,NO,FE,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,CE,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NB,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NB,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NB,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,CE,NO,NO,NO,NB
NB,NO,NO,NO,NO,NB,NB,NB,NB,NO,NB
NB,NO,NO,NO,NO,NO,NO,NB,NB,NO,NB
NB,NO,NO,NO,NO,NO,NO,NB,NB,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,FE,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,FE,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,CE,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NB,NB,NO,NO,NO,NO,NO,NO,NB
NB,NO,NB,NB,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,CE,NO,NB
NB,NO,NO,NO,NO,NO,NO,NB,NB,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,FE,NO,NO,NO,NO,NO,NB
NB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NB
